method,chunk_number,chunk_text,is_complete,total_chunks
ast,1,import pytest from flask import g from flask import session  from flaskr.db import get_db   ,yes,6
ast,2,"def test_register(client, app):     # test that viewing the page renders without template errors    ",no,6
ast,3,"def test_register_validate_input(client, username, password, message):     response = client.post(  ",no,6
ast,4,"def test_login(client, auth):     # test that viewing the page renders without template errors     a",no,6
ast,5,"def test_login_validate_input(auth, username, password, message):     response = auth.login(username",yes,6
ast,6,"def test_logout(client, auth):     auth.login()      with client:         auth.logout()         asse",yes,6
naive,1,"import pytest  from flaskr.db import get_db   def test_index(client, auth):     response = client.ge",no,8
naive,2,"dy"" in response.data     assert b'href=""/1/update""' in response.data   @pytest.mark.parametrize(""pat",no,8
naive,3," another user     with app.app_context():         db = get_db()         db.execute(""UPDATE post SET ",yes,8
naive,4,"n't see edit link     assert b'href=""/1/update""' not in client.get(""/"").data   @pytest.mark.parametr",no,8
naive,5," == 200     client.post(""/create"", data={""title"": ""created"", ""body"": """"})      with app.app_context(",no,8
naive,6,"/update"", data={""title"": ""updated"", ""body"": """"})      with app.app_context():         db = get_db() ",no,8
naive,7,"esponse = client.post(path, data={""title"": """", ""body"": """"})     assert b""Title is required."" in resp",no,8
naive,8,"HERE id = 1"").fetchone()         assert post is None ",yes,8
ast,1,import pytest  from flaskr.db import get_db   ,yes,9
ast,2,"def test_index(client, auth):     response = client.get(""/"")     assert b""Log In"" in response.data  ",no,9
ast,3,"def test_login_required(client, path):     response = client.post(path)     assert response.headers[",yes,9
ast,4,"def test_author_required(app, client, auth):     # change the post author to another user     with a",no,9
ast,5,"def test_exists_required(client, auth, path):     auth.login()     assert client.post(path).status_c",yes,9
ast,6,"def test_create(client, auth, app):     auth.login()     assert client.get(""/create"").status_code ==",no,9
ast,7,"def test_update(client, auth, app):     auth.login()     assert client.get(""/1/update"").status_code ",no,9
ast,8,"def test_create_update_validate(client, auth, path):     auth.login()     response = client.post(pat",yes,9
ast,9,"def test_delete(client, auth, app):     auth.login()     response = client.post(""/1/delete"")     ass",no,9
naive,1,import sqlite3  import pytest  from flaskr.db import get_db   def test_get_close_db(app):     with a,no,2
naive,2,ss Recorder:         called = False      def fake_init_db():         Recorder.called = True      mon,no,2
ast,1,import sqlite3  import pytest  from flaskr.db import get_db   ,yes,3
ast,2,def test_get_close_db(app):     with app.app_context():         db = get_db()         assert db is g,no,3
ast,3,"def test_init_db_command(runner, monkeypatch):     class Recorder:         called = False      def f",no,3
naive,1,"from flaskr import create_app   def test_config():     """"""Test create_app without passing test confi",no,1
ast,1,from flaskr import create_app   ,yes,3
ast,2,"def test_config():     """"""Test create_app without passing test config.""""""     assert not create_app(",yes,3
ast,3,"def test_hello(client):     response = client.get(""/hello"")     assert response.data == b""Hello, Wor",yes,3
naive,1,from __future__ import annotations  import collections.abc as cabc import inspect import os import s,yes,187
naive,2, import click from werkzeug.datastructures import Headers from werkzeug.datastructures import Immuta,yes,187
naive,3,.routing import RequestRedirect from werkzeug.routing import RoutingException from werkzeug.routing ,yes,187
naive,4, _cv_app from .globals import app_ctx from .globals import g from .globals import request from .glob,yes,187
naive,5,ons import SecureCookieSessionInterface from .sessions import SessionInterface from .signals import ,yes,187
naive,6,from .wrappers import Response  if t.TYPE_CHECKING:  # pragma: no cover     from _typeshed.wsgi impo,yes,187
naive,7,", bound=ft.ShellContextProcessorCallable ) T_teardown = t.TypeVar(""T_teardown"", bound=ft.TeardownCal",no,187
naive,8,e)   def _make_timedelta(value: timedelta | int | None) -> timedelta | None:     if value is None or,yes,187
naive,9,"e remaining args. def remove_ctx(f: F) -> F:     def wrapper(self: Flask, *args: t.Any, **kwargs: t.",yes,187
naive,10,ase_method without the new ctx arg. # Add it to the args for the call. def add_ctx(f: F) -> F:     d,yes,187
naive,11,"     return f(self, *args, **kwargs)      return update_wrapper(wrapper, f)  # type: ignore[return-v",yes,187
naive,12,"the view functions, the URL rules, template configuration and much more.      The name of the packag",yes,187
naive,13,"dule (just a ``.py`` file).      For more information about resource loading, see :func:`open_resour",yes,187
naive,14,r          The idea of the first parameter is to give Flask an idea of what         belongs to your ,yes,187
naive,15,"le, `__name__` is always the correct value.  If you however are         using a package, it's usuall",yes,187
naive,16,plication')             app = Flask(__name__.split('.')[0])          Why is that?  The application w,yes,187
naive,17,SQLAlchemy         extension will look for the code in your application that triggered         an SQ,yes,187
naive,18,"versionadded:: 0.7        The `static_url_path`, `static_folder`, and `template_folder`        param",yes,187
naive,19,matching`` and ``static_host`` parameters were added.      .. versionadded:: 1.0        The ``subdom,yes,187
naive,20, can be used to specify a different path for the                             static files on the web,yes,187
naive,21,path. Defaults to ``'static'``.     :param static_host: the host to use when adding the static route,yes,187
naive,22,the subdomain relative to         :data:`SERVER_NAME` when matching routes. Defaults to False.     :,yes,187
naive,23,ication.     :param instance_path: An alternative instance path for the application.                ,yes,187
naive,24,                            for loading the config are assumed to                                   ,yes,187
naive,25,"automatically, such as for namespace packages.     """"""      default_config = ImmutableDict(         ",yes,187
naive,26,"USE_X_SENDFILE"": False,             ""TRUSTED_HOSTS"": None,             ""SERVER_NAME"": None,         ",yes,187
naive,27,"          ""SESSION_COOKIE_PARTITIONED"": False,             ""SESSION_COOKIE_SAMESITE"": None,         ",yes,187
naive,28,"None,             ""TRAP_HTTP_EXCEPTIONS"": False,             ""EXPLAIN_TEMPLATE_LOADING"": False,     ",yes,187
naive,29,lask.Request`     #: for more information.     request_class: type[Request] = Request      #: The cl,yes,187
naive,30,ieSessionInterface` is used here.     #:     #: .. versionadded:: 0.8     session_interface: Session,no,187
naive,31,till have the old signature.         # Show a deprecation warning and wrap to call with correct args,yes,187
naive,32,"    cls.finalize_request,             cls.make_default_options_response,             cls.preprocess_",yes,187
naive,33,overridden                 continue              # get the second parameter (first is self)         ,yes,187
naive,34,"r not (                 # no annotation, match name                 (param.annotation is inspect.Par",yes,187
naive,35,"""AppContext""                 )                 or (                     # class annotation          ",yes,187
naive,36,"ext'""                     "" as the first parameter. The old signature is deprecated""                ",no,187
naive,37,"e__, add_ctx(base_method))      def __init__(         self,         import_name: str,         static",no,187
naive,38,"thLike[str] | None = ""templates"",         instance_path: str | None = None,         instance_relativ",yes,187
naive,39,"ost,             host_matching=host_matching,             subdomain_matching=subdomain_matching,    ",yes,187
naive,40,nds for this         #: object. The commands are available from the ``flask`` command         #: onc,yes,187
naive,41,"self.cli.name = self.name          # Add a static route using the provided static_url_path, static_h",yes,187
naive,42, Google App Engine stores static files somewhere         if self.has_static_folder:             asse,yes,187
naive,43,"          self_ref = weakref.ref(self)             self.add_url_rule(                 f""{self.static",no,187
naive,44,"tr | None) -> int | None:         """"""Used by :func:`send_file` to determine the ``max_age`` cache   ",yes,187
naive,45," conditional requests         instead of a timed cache, which is usually preferable.          Note t",yes,187
naive,46,"E_MAX_AGE_DEFAULT""]          if value is None:             return None          if isinstance(value,",yes,187
naive,47,lder`. A route is automatically registered for         this view at :attr:`static_url_path` if :attr,yes,187
naive,48,"be set to serve static_files."")          # send_file only knows to call get_send_file_max_age on the",yes,187
naive,49,"ource(         self, resource: str, mode: str = ""rb"", encoding: str | None = None     ) -> t.IO[t.An",yes,187
naive,50,"ode-block:: python              with app.open_resource(""schema.sql"") as f:                 conn.exec",yes,187
naive,51,ram encoding: Open the file with this encoding when opening in text             mode. This is ignore,yes,187
naive,52,"h = os.path.join(self.root_path, resource)          if mode == ""rb"":             return open(path, m",yes,187
naive,53,"ve to the application's instance folder         :attr:`instance_path`. Unlike :meth:`open_resource`,",yes,187
naive,54,ing when opening in text             mode. This is ignored when opening in binary mode.          .. ,yes,187
naive,55,"     def create_jinja_environment(self) -> Environment:         """"""Create the Jinja environment base",no,187
naive,56,nged:: 0.11            ``Environment.auto_reload`` set in accordance with            ``TEMPLATES_AUT,yes,187
naive,57," not in options:             auto_reload = self.config[""TEMPLATES_AUTO_RELOAD""]              if auto",yes,187
naive,58,"sages=get_flashed_messages,             config=self.config,             # request, session and g are",yes,187
naive,59,"v.policies[""json.dumps_function""] = self.json.dumps         return rv      def create_url_adapter(se",yes,187
naive,60," .. versionchanged:: 3.1             If :data:`SERVER_NAME` is set, it does not restrict requests to",yes,187
naive,61,ing` instead.          .. versionchanged:: 0.9            This can be called outside a request when ,yes,187
naive,62,osts = trusted_hosts              # Check trusted_hosts here until bind_to_environ does.            ,yes,187
naive,63,", otherwise it's used and the actual                 # host is ignored, which breaks host matching. ",yes,187
naive,64,"         # the empty string.                 subdomain = self.url_map.default_subdomain or """"       ",yes,187
naive,65,"t None:             return self.url_map.bind(                 self.config[""SERVER_NAME""],           ",yes,187
naive,66," exceptions and possibly do something else.          In debug mode, intercept a routing redirect and",yes,187
naive,67,1             Don't intercept 307 and 308 redirects.          :meta private:         :internal:     ,yes,187
naive,68,):             raise request.routing_exception  # type: ignore[misc]          from .debughelpers imp,no,187
naive,69,"bles.         This injects request, session, config and g into the template         context as well ",yes,187
naive,70,param context: the context as a dictionary that is updated in place                         to add e,yes,187
naive,71, values passed to render_template take precedence. Keep a         # copy to re-apply after all conte,yes,187
naive,72,"nc(func)())          context.update(orig_ctx)      def make_shell_context(self) -> dict[str, t.Any]:",no,187
naive,73,ocessor in self.shell_context_processors:             rv.update(processor())         return rv      ,yes,187
naive,74,ent server.          Do not use ``run()`` in a production setting. It is not intended to         mee,yes,187
naive,75, show a debugger in case an exception happened.          If you want to run the application in debug,yes,187
naive,76,ded to use this function for development with         automatic reloading as this is badly supported,yes,187
naive,77,"  As such to enable just the            interactive debugger without the code reloading, you have to",yes,187
naive,78,:param host: the hostname to listen on. Set this to ``'0.0.0.0'`` to             have the server ava,yes,187
naive,79,"``SERVER_NAME`` config variable if present.         :param debug: if given, enable or disable debug ",yes,187
naive,80,rst file found.         :param options: the options to be forwarded to the underlying Werkzeug      ,yes,187
naive,81,skenv` files.              The :envvar:`FLASK_DEBUG` environment variable will override :attr:`debug,yes,187
naive,82,"erver if         # the 'flask run' command is used.         if os.environ.get(""FLASK_RUN_FROM_CLI"") ",yes,187
naive,83,"l 'app.run()' in an 'if __name__ ==""                     ' ""__main__""\' guard.',                    ",yes,187
naive,84,get_debug_flag()          # debug passed to method overrides all other sources         if debug is n,yes,187
naive,85,"   if sn_host:                 host = sn_host             else:                 host = ""127.0.0.1""  ",yes,187
naive,86,"self.debug)         options.setdefault(""threaded"", True)          cli.show_server_banner(self.debug,",yes,187
naive,87,et normally.  This makes it possible to restart the server             # without reloader and that s,no,187
naive,88,it testing head over to :doc:`/testing`.          Note that if you are testing for assertions or exc,yes,187
naive,89,nd         the only indication of an AssertionError or other exception will be a         500 status ,yes,187
naive,90,     of the context until the end of the ``with`` block.  This is useful if         you want to acce,yes,187
naive,91,        be passed to the application's :attr:`test_client_class` constructor.         For example:: ,no,187
naive,92,"stomClient,self).__init__( *args, **kwargs)              app.test_client_class = CustomClient       ",yes,187
naive,93,dded:: 0.7            The `use_cookies` parameter was added as well as the ability            to ove,yes,187
naive,94,"nt_class`.         """"""         cls = self.test_client_class         if cls is None:             from",yes,187
naive,95,er for testing CLI commands.         See :ref:`testing-cli`.          Returns an instance of :attr:`,yes,187
naive,96,"ne:             from .testing import FlaskCliRunner as cls          return cls(self, **kwargs)  # ty",yes,187
naive,97,all back to returning the         exception as response.          .. versionchanged:: 1.0.3         ,yes,187
naive,98,          ``HTTPException`` subclasses can be handled with a catch-all             handler for the b,yes,187
naive,99,"tions are used internally to trigger routing         # actions, such as slash redirects raising Requ",yes,187
naive,100, e         return self.ensure_sync(handler)(e)  # type: ignore[no-any-return]      def handle_user_e,yes,187
naive,101,ns.HTTPException` which is forwarded to the         :meth:`handle_http_exception` method. This funct,yes,187
naive,102," than a generic bad request             message.          .. versionadded:: 0.7         """"""         ",yes,187
naive,103,"n self.handle_http_exception(ctx, e)          handler = self._find_error_handler(e, ctx.request.blue",yes,187
naive,104," have an error handler         associated with it, or that was raised from an error handler.        ",yes,187
naive,105,"an         display it. Otherwise, the original exception is logged, and         an :exc:`~werkzeug.e",yes,187
naive,106,         unhandled exception is available as ``e.original_exception``.          .. versionchanged:: ,yes,187
naive,107,inalization is done             even for the default 500 response when there is no handler.         ,yes,187
naive,108,     propagate = self.testing or self.debug          if propagate:             # Re-raise if called ,yes,187
naive,109,ponseReturnValue         server_error = InternalServerError(original_exception=e)         handler = ,yes,187
naive,110,"def log_exception(         self,         ctx: AppContext,         exc_info: tuple[type, BaseExceptio",no,187
naive,111," exception as error on the         :attr:`logger`.          .. versionadded:: 0.8         """"""       ",yes,187
naive,112,URL and returns the         return value of the view or error handler.  This does not have to       ,yes,187
naive,113,"he new :meth:`full_dispatch_request`.         """"""         req = ctx.request          if req.routing_",yes,187
naive,114,"tomatically         if (             getattr(rule, ""provide_automatic_options"", False)             a",yes,187
naive,115,urn self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)  # type: ignore[no-any-return],yes,187
naive,116,"nadded:: 0.7         """"""         if not self._got_first_request and self.should_ignore_error is not ",yes,187
naive,117,"."",                 DeprecationWarning,                 stacklevel=1,             )          self._g",yes,187
naive,118,"ption as e:             rv = self.handle_user_exception(ctx, e)         return self.finalize_request",yes,187
naive,119,inalizes         the request by converting it into a response and invoking the         postprocessin,yes,187
naive,120,"th the `from_error_handler` flag.  If enabled, failures in         response processing will be logge",yes,187
naive,121,"nsure_sync, response=response             )         except Exception:             if not from_error_",yes,187
naive,122," Response:         """"""This method is called to create the default ``OPTIONS`` response.         This",yes,187
naive,123,"_class()         rv.allow.update(methods)         return rv      def ensure_sync(self, func: t.Calla",yes,187
naive,124,  Override this method to change how the app runs async views.          .. versionadded:: 2.0       ,yes,187
naive,125,urn a sync function that will run the coroutine function.          .. code-block:: python           ,yes,187
naive,126,mport async_to_sync as asgiref_async_to_sync         except ImportError:             raise RuntimeEr,yes,187
naive,127," str | None = None,         _method: str | None = None,         _scheme: str | None = None,         ",yes,187
naive,128,"dpoint* is the name of a URL rule, usually added with         :meth:`@app.route() <route>`, and usua",yes,187
naive,129,"clude         the scheme and domain, like ``https://example.com/hello``. When         not in an acti",yes,187
naive,130,ed. This config is only used when not in an active request.          Functions can be decorated with,yes,187
naive,131," If that returns a string, that is returned,         otherwise a :exc:`~werkzeug.routing.BuildError`",yes,187
naive,132,"chor`` to the URL.         :param _method: If given, generate the URL associated with this          ",yes,187
naive,133,"rnal URLs             include the scheme and domain. When not in an active             request, URLs",yes,187
naive,134,"om ``flask.url_for``, which calls this method.         """"""         if (ctx := _cv_app.get(None)) is ",yes,187
naive,135,"he blueprint.             if endpoint[:1] == ""."":                 if blueprint_name is not None:    ",yes,187
naive,136,             if _external is None:                 _external = _scheme is not None         else:    ,yes,187
naive,137,apter             else:                 url_adapter = self.create_url_adapter(None)              if ,yes,187
naive,138,"RED_URL_SCHEME' as""                     "" needed.""                 )              # When outside a r",yes,187
naive,139,"URLs.         if _scheme is not None and not _external:             raise ValueError(""When specifyin",yes,187
naive,140,"d,                 url_scheme=_scheme,                 force_external=_external,             )      ",yes,187
naive,141," is not None:             _anchor = _url_quote(_anchor, safe=""%!#$&'()*+,/:;=?@"")             rv = f",yes,187
naive,142,"from the view function. The view function             must return a response. Returning ``None``, or",yes,187
naive,143,y.              ``bytes``                 A response object is created with the bytes as the body.  ,yes,187
naive,144,nerator that returns ``str`` or ``bytes`` to be                 streamed as the response.           ,yes,187
naive,145,"    ``headers`` is a dictionary or a list of ``(key, value)``                 tuples. If ``body`` is",yes,187
naive,146,`~werkzeug.wrappers.Response` class                 The object is coerced to :attr:`response_class`.,yes,187
naive,147,ponse.             A list will be converted to a JSON response.          .. versionchanged:: 1.1    ,yes,187
naive,148,"HeadersValue | None = None          # unpack tuple returns         if isinstance(rv, tuple):        ",yes,187
naive,149,"           if isinstance(rv[1], (Headers, dict, tuple, list)):                     rv, headers = rv ",yes,187
naive,150,"id not return a valid response tuple.""                     "" The tuple must have the form (body, sta",yes,187
naive,151,"""                 "" return a valid response. The function either returned""                 "" None or",yes,187
naive,152,rator):                 # let the response class set the status and headers instead of              ,yes,187
naive,153,"rs,  # type: ignore[arg-type]                 )                 status = headers = None             ",yes,187
naive,154,rrect type                 try:                     rv = self.response_class.force_type(            ,yes,187
naive,155,"lid""                         "" response. The return type must be a string,""                         ",yes,187
naive,156,"lse:                 raise TypeError(                     ""The view function did not return a valid""",yes,187
naive,157,"                 )          rv = t.cast(Response, rv)         # prefer the status if it was provided",yes,187
naive,158,if headers:             rv.headers.update(headers)          return rv      def preprocess_request(se,yes,187
naive,159,est_funcs`         registered with the app and the blueprint.          If any :meth:`before_request`,yes,187
naive,160,     for name in names:             if name in self.url_value_preprocessors:                 for url,yes,187
naive,161,                   rv = self.ensure_sync(before_func)()                      if rv is not None:     ,yes,187
naive,162,s sent to the WSGI server.  By default this will         call all the :meth:`after_request` decorate,yes,187
naive,163,"return: a new response object or the same, has to be an                  instance of :attr:`response",yes,187
naive,164,   for func in reversed(self.after_request_funcs[name]):                     response = self.ensure_,yes,187
naive,165,"ctx: AppContext, exc: BaseException | None = None     ) -> None:         """"""Called after the request",yes,187
naive,166,"own_request` if a blueprint handled the request.         Finally, the :data:`request_tearing_down` s",yes,187
